Group,Mag Group,Mag Avg,CosDist Sum,DotProd Sum,CosDist Sim,N1,N2,N3,Type
izgubljati_živec,4.131059226705724,2.4855161583758627,1.0083772959911355,-0.17203304181329998,0.332661995625463,0.1819615205533779,0.2671634496911016,0.3345241201996374,1
izgubiti_živec,3.8208874233278585,2.4180665610242857,1.061975953863043,-1.1452115216427996,0.40167562335712664,0.19232875284838546,0.33341101047827304,0.33342328024459356,1
obrniti_hrbet,3.79958751153793,2.7522882079713384,1.0735729552785909,-1.5387871741568997,0.4465333907031574,0.3296908632788472,0.37172881488365983,0.3920131800123,1
hoteti_hoteti,3.0622255302217556,2.417995613473329,1.157582903667353,-2.3336288001269994,0.4830484472953422,0.3183639333824393,0.3275831237753163,0.32954752392296105,1
briti_norec,4.624054910895979,2.9246131075596074,1.2119940932096172,-5.7338345976469,0.1714075154639706,0.1714075154639706,0.2876918390677944,0.2949482916508528,1
vtisniti_v_spomin,3.838448066029943,2.1398863550463783,0.9500293980434291,1.2313519834497004,0.3433827940766186,0.21511303438335572,0.331821918077135,0.3832551961631533,1
biti_prav,1.6011082102455412,1.9452475963272389,1.0740986068188225,-0.46156791293044014,0.6295925915767566,0.1816834104698638,0.27985731637822153,0.3383033544642371,1
ta_biti_tako,1.937500354093,1.7886207428860585,0.9753629968662972,0.25613515311169016,0.4985321106727958,0.1920774105492521,0.19626849345106478,0.20352962373495753,1
iti_dol,4.036407491967207,2.668047416385676,1.009091210454206,-0.19581242878539987,0.5711294861093396,0.15252628404535762,0.17419321586552883,0.31236979069930326,1
stisniti_zob,4.424300236556006,3.014479178508713,0.8385559012348724,4.306347279277602,0.5577476111515206,0.07988794593390147,0.14227432462957978,0.16323435358200566,1
gledati_na_ura,3.485112017436168,2.010454292246789,1.036616893640039,-0.7696861977982005,0.2851352344113797,0.13875966341253365,0.21101599256195724,0.26814945221874253,1
dati_beseda,4.319125808590959,2.1721649538071994,1.040183624618228,-0.7539937756128995,0.48511271761649044,0.14436419401771827,0.17128386281319707,0.20642071531716966,1
narediti_korak,3.6366772205163387,2.343622543580853,0.969517118959907,0.5196111120348005,0.3877676654267284,0.19456346567045446,0.2643551474239998,0.2663502170348948,1
zavijati_z_oči,4.03400555790474,2.15462560469855,1.051638225827565,-1.3464830041682005,0.262622645550749,0.262622645550749,0.33174659504659076,0.36518860265080355,1
biti_kos,3.3979714587295784,2.0952758487812524,1.0025005923434478,-0.03560687226214021,0.7638645892850432,0.3546210148670337,0.41980417764408784,0.4199889931129027,1
iti_od_roka,3.668085575833005,2.0624437497858343,1.0281002891417959,-0.6377546225576406,0.3207240738711028,0.2453404171550304,0.2830042889418707,0.3207240738711028,1
doseči_vrh,4.974232147400839,2.279942538259922,0.9610506649822519,0.8834459710813997,0.49361955901068555,0.21841512459838908,0.23362046120858382,0.30654095429141326,1
imeti_pojem,3.679105878310041,2.1337191633384687,0.9402412285773838,0.9382340710921803,0.6891448370457876,0.12315106000971732,0.3882574257068031,0.43575297730529916,1
prav_imeti,3.4394707381102254,1.946364226735338,1.052875358853722,-0.7079442461423354,0.5847726666171554,0.16582421537076641,0.2628399386871695,0.265821919536795,1
v_roka_dobiti,3.206928528371656,1.8084811796900204,0.8542657531409616,2.5356315695510006,0.3707138142302364,0.30830373364600694,0.3288373456744398,0.3645757975575743,1
pasti_v_nemilost,4.353986900296698,1.9805863567311268,0.9944114790994488,0.14457694225659917,0.3892231735348626,0.17908548344130348,0.35085097659416964,0.35152776150305654,1
imeti_na_vest,2.9351450175166875,1.9443733986817278,1.1306241526150558,-2.23642312882662,0.5279345381024232,0.3915122579888124,0.4004612930638609,0.4134564400216031,1
dvigniti_roka_od,3.6725641588049833,2.2231978973516178,0.9694753356075316,0.7476867200169807,0.12716376112080263,0.121969816636185,0.12716376112080263,0.18223367147888758,1
kar_se_dati,3.1189757424546674,1.8984442583356824,1.1296782916177055,-2.3035539196045987,0.538675464307509,0.19813367213432853,0.24363876455803812,0.2452911664346633,1
